ID;River;Station;ix1;iy1;ix2;iy2;minRMSE(open-loop);minBias(open-loop);minNSE(open-loop);minKGE(open-loop);minCC(open-loop);minBR(open-loop);minRV(open-loop);minKGED(open-loop);meanRMSE(open-loop);meanBias(open-loop);meanNSE(open-loop);meanKGE(open-loop);meanCC(open-loop);meanBR(open-loop);meanRV(open-loop);meanKGED(open-loop);maxRMSE(open-loop);maxBias(open-loop);maxNSE(open-loop);maxKGE(open-loop);maxCC(open-loop);maxBR(open-loop);maxRV(open-loop);maxKGED(open-loop);VS_count
4115204;COLUMBIA;ROCKY REACH DAM, WA;98;75;-9999;-9999;0.9414034606699645;0.5302039190735854;-3973115.6418885696;-0.717043518107565;-0.4083960028581378;0.9547557696579918;4.1365564055740446e-14;-0.7170429351632801;2.975515357397166;2.738692391317636;-770644.4114883814;-0.33731403952995526;0.041742463585587544;0.9930271789432356;0.09814579936499757;-0.3372432147109413;5.932866734767203;5.753848219651331;-6519.008328763916;0.13093843399996064;0.7978816474654827;1.0207749173785725;0.47639194042905075;0.13144541979091584;34
4115205;COLUMBIA;BELOW WELLS DAM, WA;102;71;-9999;-9999;0.9414034606699645;0.5302039190735854;-3973115.6418885696;-0.6310933932286467;-0.32747669654119793;0.9547557696579918;4.1365564055740446e-14;-0.6310848267887215;3.026897428694253;2.788571998188368;-752709.1782729435;-0.325807085633664;0.05538302317479135;0.9927730062304416;0.10057959961052436;-0.32573413227299164;5.932866734767203;5.753848219651331;-6519.008328763916;0.13093843399996064;0.7978816474654827;1.0207749173785725;0.47639194042905075;0.13144541979091584;33
4115206;COLUMBIA;GRAND COULEE, WA;111;71;-9999;-9999;0.9414034606699645;0.5302039190735854;-3973115.6418885696;-0.6310933932286467;-0.32747669654119793;0.9547557696579918;4.1365564055740446e-14;-0.6310848267887215;2.9649343512573196;2.7194336097803147;-755488.4198171954;-0.323978120239888;0.0562931444686135;0.9918979465070625;0.10321511631647128;-0.3239077588054926;5.932866734767203;5.753848219651331;-6519.008328763916;0.13093843399996064;0.7978816474654827;1.006394047654817;0.47639194042905075;0.13144541979091584;32
4115220;JOHN DAY;SERVICE CREEK, OR;100;103;-9999;-9999;2.6807013983936976;2.508658365885367;-301570.93279258395;-0.2599667716371967;0.2250287481611812;0.9951722898932862;0.006565292699938145;-0.25995752263518224;2.6807013983936976;2.508658365885367;-301570.93279258395;-0.2599667716371967;0.2250287481611812;0.9951722898932862;0.006565292699938145;-0.25995752263518224;2.6807013983936976;2.508658365885367;-301570.93279258395;-0.2599667716371967;0.2250287481611812;0.9951722898932862;0.006565292699938145;-0.25995752263518224;1
4115221;JOHN DAY;MCDONALD FERRY, OREG;96;95;-9999;-9999;2.6807013983936976;2.508658365885367;-301570.93279258395;-0.2599667716371967;0.2250287481611812;0.9951722898932862;0.006565292699938145;-0.25995752263518224;2.6807013983936976;2.508658365885367;-301570.93279258395;-0.2599667716371967;0.2250287481611812;0.9951722898932862;0.006565292699938145;-0.25995752263518224;2.6807013983936976;2.508658365885367;-301570.93279258395;-0.2599667716371967;0.2250287481611812;0.9951722898932862;0.006565292699938145;-0.25995752263518224;1
4115222;JOHN DAY;NEAR JOHN DAY, OR;112;106;-9999;-9999;2.6807013983936976;2.508658365885367;-301570.93279258395;-0.2599667716371967;0.2250287481611812;0.9951722898932862;0.006565292699938145;-0.25995752263518224;2.6807013983936976;2.508658365885367;-301570.93279258395;-0.2599667716371967;0.2250287481611812;0.9951722898932862;0.006565292699938145;-0.25995752263518224;2.6807013983936976;2.508658365885367;-301570.93279258395;-0.2599667716371967;0.2250287481611812;0.9951722898932862;0.006565292699938145;-0.25995752263518224;1
4115223;NORTH FORK JOHN DAY;MONUMENT, OR;106;102;-9999;-9999;2.6807013983936976;2.508658365885367;-301570.93279258395;-0.2599667716371967;0.2250287481611812;0.9951722898932862;0.006565292699938145;-0.25995752263518224;2.6807013983936976;2.508658365885367;-301570.93279258395;-0.2599667716371967;0.2250287481611812;0.9951722898932862;0.006565292699938145;-0.25995752263518224;2.6807013983936976;2.508658365885367;-301570.93279258395;-0.2599667716371967;0.2250287481611812;0.9951722898932862;0.006565292699938145;-0.25995752263518224;1
4115224;MIDDLE FORK JOHN DAY;RITTER, OR;110;102;-9999;-9999;2.6807013983936976;2.508658365885367;-301570.93279258395;-0.2599667716371967;0.2250287481611812;0.9951722898932862;0.006565292699938145;-0.25995752263518224;2.6807013983936976;2.508658365885367;-301570.93279258395;-0.2599667716371967;0.2250287481611812;0.9951722898932862;0.006565292699938145;-0.25995752263518224;2.6807013983936976;2.508658365885367;-301570.93279258395;-0.2599667716371967;0.2250287481611812;0.9951722898932862;0.006565292699938145;-0.25995752263518224;1
4115225;CROOKED;NEAR PRINEVILLE, OR;94;109;-9999;-9999;17.49090216794936;17.477287375710148;-2265931.044055126;-0.14368849133832717;0.4326984486156171;0.9832232050651026;0.00706956227119112;-0.14356543510699527;17.49090216794936;17.477287375710148;-2265931.044055126;-0.14368849133832717;0.4326984486156171;0.9832232050651026;0.00706956227119112;-0.14356543510699527;17.49090216794936;17.477287375710148;-2265931.044055126;-0.14368849133832717;0.4326984486156171;0.9832232050651026;0.00706956227119112;-0.14356543510699527;1
4115226;CROOKED;BELOW OPAL SPRINGS NEAR CULVER, OR;88;106;-9999;-9999;17.49090216794936;17.477287375710148;-2265931.044055126;-0.14368849133832717;0.4326984486156171;0.9832232050651026;0.00706956227119112;-0.14356543510699527;17.49090216794936;17.477287375710148;-2265931.044055126;-0.14368849133832717;0.4326984486156171;0.9832232050651026;0.00706956227119112;-0.14356543510699527;17.49090216794936;17.477287375710148;-2265931.044055126;-0.14368849133832717;0.4326984486156171;0.9832232050651026;0.00706956227119112;-0.14356543510699527;1
